scope_category,vendor_a_idx,vendor_b_idx,method,confidence,score,vendor_a_total,vendor_b_total,price_delta_abs,price_delta_pct,qty_mismatch
Steelwork,1,1,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,2,2,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Steelwork,3,3,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Steelwork,4,4,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Steelwork,5,5,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,6,6,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,7,7,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,8,8,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,9,9,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,10,10,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,11,11,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,12,12,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,13,13,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,14,14,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,16,16,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,21,21,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,23,23,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,28,28,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,30,30,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,35,35,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,37,37,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,42,42,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,45,45,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,46,46,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,47,47,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,48,48,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,49,49,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Electrics,1,1,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Electrics,2,2,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,3,3,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,4,4,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,5,5,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,6,6,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,7,7,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,8,8,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,9,9,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,10,10,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,11,11,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,12,12,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,13,13,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,14,14,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,15,15,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,16,16,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,17,17,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,18,18,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Electrics,19,19,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
